,MedInc
12618,4.2075
1407,2.5459
10448,1.6393
15106,3.1023
13815,2.6576
7942,4.6765
18663,4.1587
11462,4.625
12061,5.1929
5771,2.6729
14220,5.6889
10580,2.885
16779,5.5647
4186,4.2891
2293,2.7222
6405,4.7159
3599,5.9401
14222,4.1442
14928,6.5772
18195,3.5586
13118,4.5368
11128,1.9621
2239,3.3229
4528,1.4189
7303,2.8214
16090,4.1116
10831,5.2732
7913,3.825
17696,3.3833
5162,1.6029
15992,5.482
1930,6.314
9825,3.3333
12322,1.1917
19744,2.8447
8693,6.3992
3828,2.4667
1901,2.7457
7393,1.8672
2304,5.2595
471,2.8214
8252,1.918
12735,5.9174
820,4.5913
10032,2.425
6078,5.5496
12530,1.4712
17641,5.7385
924,5.1643
8020,4.8594
15850,4.5375
9550,3.0
16479,3.475
19206,1.9932
13130,4.1179
457,2.5562
10812,1.6389
1640,5.2699
2326,1.6618
16724,3.9063
15139,4.5096
3133,2.9583
20019,4.0217
8865,5.3316
150,4.072
5623,2.4545
13897,2.182
11696,4.5033
10367,5.5779
2451,1.6635
17835,7.3861
6197,3.4453
11300,3.522
15061,2.0326
4699,3.3725
14582,3.6667
3636,4.0057
18090,7.2986
4995,1.8317
7846,2.1859
11263,3.9566
11436,5.7395
17833,5.6096
17209,2.3454
16684,3.155
11475,5.3886
19880,0.78
10550,6.1062
10517,13.1477
7916,4.1406
19029,4.9583
8323,2.2031
16525,2.4798
20614,2.4695
18805,2.1513
9943,2.9375
13123,4.4125
8015,4.0603
2738,4.6154
19374,2.2024
8333,4.2917
17801,5.3774
739,4.8125
14813,4.5189
1875,3.5417
6073,11.1077
18138,5.2108
13103,5.7452
20464,4.6908
5721,3.6875
10313,5.6403
794,3.3479
17847,4.3807
17525,4.226
17998,6.6437
5557,4.7375
13112,3.175
4673,4.6838
1656,7.3445
3057,1.7868
17885,5.8792
202,1.9338
14263,2.2102
8713,6.1599
19534,1.6767
17838,5.0821
12227,1.9961
6020,3.1641
1882,3.1625
14450,6.5881
19968,1.9861
3356,2.5074
864,5.8322
3076,2.033
5309,5.7097
16713,2.925
10650,5.0907
13577,1.8396
17314,3.2569
9503,3.4063
657,3.4583
1896,3.2396
827,4.7019
8731,3.8456
19243,3.75
8231,1.9797
6610,5.894
12165,2.5847
12672,1.9657
15123,3.7831
17746,2.5052
14152,3.0875
5892,4.0648
15264,3.1667
4754,2.0706
17948,4.4453
16314,2.6765
16639,3.1818
10798,4.5658
17565,3.7738
12470,3.8914
16570,3.5242
13117,4.6989
12870,3.8355
8751,6.256
19198,3.8583
13346,4.8281
13487,2.3205
1333,3.5857
12951,3.0212
4092,4.0208
13994,3.1528
10266,5.7951
20247,4.0069
8302,3.9352
5841,3.0179
8856,4.2386
14409,3.4527
4979,2.7727
14583,3.5606
18161,7.5337
17806,5.5429
8926,3.2061
19108,2.5179
7837,3.1507
13222,3.4267
7306,3.1979
14348,0.536
14144,3.5078
16653,2.1786
15051,4.2014
8177,4.4831
9146,6.0097
10907,2.5651
18411,4.8862
9777,2.1107
7925,4.8448
1999,1.5547
507,2.6997
16573,3.15
1609,3.12
1467,7.6166
3375,3.5214
4955,2.5263
2160,3.4265
3879,4.185
950,4.9107
17723,6.6633
5958,5.27
1253,2.2679
17437,3.2167
17759,4.25
9911,1.76
12506,2.5417
8040,3.75
14440,3.1010000000000004
11556,4.375
8243,2.0769
1402,5.0672
9965,4.6379
12133,5.0223
4433,1.9937
6715,7.7116
16867,3.3632
12118,6.3223
845,6.0661
7643,4.3687
3335,1.5739
11796,4.0282
6147,3.2957
19339,3.7768
12007,7.2379
18672,3.6597
16189,1.2962
7978,3.025
5824,3.9041
2273,5.187
4920,1.6382
11576,2.9083
19050,2.2244
9783,3.9647
9769,2.7153
5139,2.0754
20634,3.7125
8281,3.6193
17092,3.623
18538,2.589
10707,2.6848
7400,1.7396
18463,4.65
11604,5.7837
13216,4.125
11346,4.4732
20035,1.6103
14546,6.9794
11868,3.6477
9926,3.9
1776,3.125
13316,2.5677
9857,6.9615
19702,4.0625
13770,4.2361
4445,1.7463
3900,2.2304
15768,5.1788
719,3.4032
19959,2.8365
10454,2.3846
13175,3.2292
16254,0.9782
1841,4.0536
2810,1.4598
4110,6.0876
19918,5.3602
14330,4.0
9980,2.1979
11020,10.157
5046,3.8643
8506,3.2574
10147,6.1825
2652,2.6094
10810,2.5301
4040,6.4958
825,4.0682
4334,4.1429
14947,5.0864
12174,1.9767
13844,3.0943
7133,2.66
1719,6.0115
16287,1.69
19350,5.1005
18696,2.1538
14996,3.5492
19257,4.2061
13674,3.1607
20282,2.8561
11850,2.2101
7678,3.5455
16741,4.9318
28,1.6424
11483,6.7395
3338,3.8831
16278,2.125
5386,3.5022
14266,2.09
4338,2.7038
16778,4.5337
8215,2.137
19667,4.4886
17044,6.912000000000001
3054,1.9362
15467,4.8152
10975,3.6806
18649,2.625
15062,1.3291
4963,1.7143
13231,6.7813
6806,2.3462
16283,2.7829
8327,2.0114
7796,3.8672
9205,3.0224
2101,1.3029
18418,6.6712
19920,1.6148
10274,2.7759
8144,5.9265
10520,8.3275
20572,2.7989
1770,3.0737
15620,4.4712
18133,6.0577
7032,3.9549
12446,3.2097
8870,6.6343
18397,4.5221
12138,2.625
482,3.15
15654,1.4552
18363,13.8093
12552,2.8542
13753,4.2059
8723,4.9583
828,5.64
11752,3.1583
3154,3.2632
720,2.535
16352,3.5684
19505,3.148
6925,3.2375
20579,1.9559
15765,3.2981
917,5.0824
7557,2.0134
20037,2.343
13013,4.3826
3835,4.125
13394,4.7857
5913,3.1588
18317,4.875
2964,4.0529
12515,2.9821
6289,4.6324
7596,2.4537
12614,4.1
10015,4.3523
15860,4.5057
13864,1.5758
4896,1.8929
3384,4.45
5055,1.7622
11662,5.6677
908,5.1616
12845,4.0673
14588,4.0114
1508,4.7094
9792,5.1506
2884,1.4786
12036,3.6583
9716,3.7912
1286,3.4722
8889,3.6451
20200,4.1667
15307,1.9562
2412,3.7917
4006,6.0192
11471,4.8125
12832,3.725
18815,2.7778
4499,2.52
14270,2.0673
9854,6.917999999999999
18438,5.4939
5825,3.5083
18742,2.0395
17105,6.0255
8009,4.9904
17004,3.9699
12540,5.6402
13802,4.8623
16008,5.5622
20353,5.0066
20622,2.4167
7641,5.2034
693,2.1552
5414,6.3516
14946,4.5135
16238,4.175
4736,4.2404
15131,2.3693
1215,3.0
18498,4.0238
5990,5.8891
10137,3.7321
13610,4.4435
15113,4.0693
17665,2.6818
18763,2.4036
1648,2.9591
14520,3.7837
16293,1.6563
6543,2.2577
9817,4.3281
7816,3.5893
18859,2.2462
17548,2.9222
1220,3.8488
17488,3.6034
6781,4.1661
18758,2.0119
6967,3.0
12197,3.2258
13343,2.5048
671,2.9917
12656,1.68
9365,5.1834
2976,4.997
15308,4.1875
18571,3.4125
13964,3.1324
14597,5.0603
8503,5.0641
14361,4.5878
15612,4.7367
3530,5.6912
4705,3.5481
18584,2.4053
13380,4.4611
8262,3.1149
2996,4.1957
13524,1.7456
19946,1.4429
19039,3.5179
2749,4.4821
9601,1.5427
7938,5.3889
10095,4.0833
5558,5.723
1581,7.2655
36,1.0972
12949,3.6298
4823,2.3536
2675,3.4038
19769,2.625
11253,2.2
9375,6.1632
16886,6.0374
1108,2.3507
10711,3.1131
9025,7.9184
3697,2.9861
7560,2.8793
8434,4.9688
14847,2.9318
16221,3.9922
11040,8.9257
15102,3.1979
9903,5.2444
12945,5.2949
14659,2.7652
6949,0.9817
15401,1.7217
6029,5.2269
13869,1.5288
5565,2.4741
6017,3.9224
8955,3.4375
15007,1.0278
17329,6.2094
12169,2.7983
2947,1.6786
6680,2.2321
417,7.8336
16331,4.3008
6026,3.0294
17097,4.4167
20109,2.4615
8555,5.9499
19004,4.0458
20264,2.1542
23,2.1806
2517,2.325
3322,1.7196
16722,2.7798
1017,5.2649
16441,3.2338
10256,3.6417
9591,4.8214
15730,2.9792
16767,4.9375
8597,5.9619
9974,3.6429
1195,1.7552
10088,5.5608
11534,1.2813
19554,1.5515
12660,1.4007
11404,5.5501
7387,2.2917
237,2.619
6244,3.7917
5045,4.1635
17730,5.6306
20423,5.4346
11721,4.8182
17376,2.212
18030,4.7279
17851,4.4712
8523,4.7426
14109,2.113
3587,3.6187
11352,2.6442
14767,4.8646
19971,1.5407
8357,3.8512
20152,4.0074
16494,3.4265
18888,2.3241
6388,7.1615
12599,3.3906
15258,6.9326
10182,5.2099
10826,2.75
8274,3.0503
5116,1.2273
9287,3.0573
12356,3.1364
3294,1.8571
2880,1.375
15021,2.7006
14684,6.4335
8907,3.7381
14781,4.5547
4683,3.1765
3016,4.0332
1739,3.5463
13617,3.0721
13974,2.8214
5834,3.6071
2860,3.0938
927,6.867999999999999
19529,7.3841
9202,2.3565
7839,3.8
4083,4.3036
1239,3.075
19928,3.6895
12320,1.95
19957,3.6343
6071,7.5286
5147,1.5326
2068,2.6146
6094,5.1708
2197,1.3221
16492,2.9241
15982,2.9899
13685,6.0
2329,2.7778
11182,3.8828
17973,3.6292
13629,3.1799
13904,1.9779
17245,2.0643
12976,4.8224
10170,3.3199
16139,3.4605
78,0.8026
1166,1.3654
7144,2.2813
1310,3.3625
17335,3.0559
12931,5.259
13245,6.2083
3615,4.0792
567,4.6094
19945,2.4032
10311,8.1117
10364,6.0689
14114,3.2422
968,6.4524
5236,2.3333
15424,4.3542
8407,2.2679
14316,1.5729
18949,2.5313
17986,4.3081
8227,2.3305
9945,6.8
10508,5.752999999999999
18916,2.3056
18369,5.2366
3884,4.3261
10547,7.3141
4574,2.3981
10866,5.4836
19059,3.5647
12436,2.5714
10695,3.7422
11598,5.8283
4280,2.0341
15986,2.8711
10158,7.2532
19227,6.6104
20229,1.6007
15485,4.8526
6793,2.7483
513,8.1872
13257,5.3368
9033,8.7364
18693,2.1875
2431,3.0521
16839,5.7653
16074,3.4583
5263,6.5147
7341,2.63
11706,2.1987
8013,5.296
7405,2.1522
1535,7.5349
2950,1.1786
9983,3.4539
18551,2.425
3128,3.5391
4091,5.2853
4635,1.6953
16691,2.7301
11926,4.0833
20518,1.9426
3775,4.1875
1205,2.2813
5320,4.8304
1303,2.0411
16849,6.3443
3663,4.1121
3061,2.1295
19202,1.5026
6023,1.6645
11316,2.7157
15427,2.066
6358,3.1094
1358,2.5833
13134,4.0625
7800,4.0461
43,3.9643
15541,3.6389
966,6.2918
13200,2.3049
7041,4.5306
17031,4.7708
15681,4.038
10334,6.9544
5207,2.875
6697,6.0948
6214,5.0897
3817,5.2118
3722,2.2589
14125,1.2347
15800,4.2222
15206,4.4219
8874,9.337
11490,11.5199
112,3.0233
333,2.4776
19162,4.0844
8661,5.4968
17016,4.0313
14338,1.9203
6838,3.085
9534,2.7562
6395,8.4889
12188,3.102
13511,2.2604
1724,1.8333
6696,3.5804
5789,2.2621
10089,4.0893
12017,2.9821
17825,5.34
12849,4.0909
13107,3.3281
437,2.1705
7388,2.0323
8670,4.5687
8365,3.2708
20379,4.2857
14313,2.5588
6960,5.193
8146,5.2713
3966,4.5568
18911,3.724
9225,2.2375
8601,4.5357
11002,5.3903
20312,1.6964
9150,5.3209
886,3.1326
15877,4.2891
14517,3.6111
9348,4.8056
18141,7.7865
10531,4.045
13003,2.7388
2265,2.6055
16916,7.0422
2250,6.3359
17545,6.6345
1929,4.6394
19044,3.7061
16080,4.3909
11387,4.2159
18880,1.1835
4431,2.3409
10167,6.7528
14900,2.1765
6110,4.1995
14635,3.7102
644,6.9096
2202,4.7622
3637,4.0368
16910,15.0001
1210,2.5
16340,4.6477
9276,6.0132
4988,2.1116
218,2.8365
3990,7.642
19713,4.0
16693,3.3062
12173,2.2969
3277,1.3532
7561,2.3214
19095,5.0849
15420,3.0197
15160,4.5746
19396,2.9125
3752,2.8208
7736,2.6862
14844,3.4583
17171,10.6514
3808,3.5255
12218,3.9617
2081,1.4028
3207,3.5536
5170,1.5268
17459,2.2647
5438,4.7009
13700,2.1563
2870,2.1588
2762,1.2639
13149,4.025
18599,2.7933
17705,3.1382
215,2.7969
409,10.0825
640,2.8125
4467,2.5132
12680,3.5278
9764,3.5039
11929,4.0625
6516,2.9334
1874,3.1806
11245,4.5179
10121,2.8
13534,3.7949
12231,2.964
15022,2.8125
17969,3.699
9553,2.567
3908,2.6437
3797,3.5051
8733,2.775
8650,6.1404
18786,2.1875
13609,4.1
20490,5.477
1586,12.2478
17117,2.3769
6507,3.2312
17575,4.2614
13554,2.0089
7640,5.3849
3812,3.3864
3060,2.5625
16214,2.5488
7228,2.2596
11250,2.8835
1613,7.2315
11107,3.6
17039,6.142
19237,6.6004
7777,3.2708
16458,5.0528
1654,8.1163
15912,4.1552
14923,5.766
5600,3.3929
19964,2.9145
2828,3.8611
5510,4.0893
1820,6.0677
1394,4.5401
14425,3.2663
10784,2.7264
19522,0.6825
935,3.1696
5247,15.0001
9602,1.5
4231,3.5806
4454,1.3125
20000,1.8894
11395,6.6324
9527,2.775
14815,3.6759
1002,3.3618
8247,1.8438
19490,2.9137
15013,3.6625
364,6.8323
12632,1.5908
11925,1.1601
993,6.1023
4253,2.8036
20494,6.3236
279,5.4446
16829,5.4364
8917,2.3382
8765,6.015
17325,5.3154
14861,2.619
15976,3.4531
3547,5.6392
740,3.8676
5442,4.7
12756,2.7813
13115,7.0326
6771,3.7895
19384,1.7143
2534,2.8466
19729,1.7857
2696,1.9375
7009,3.1554
17025,3.7
15534,3.4455
2334,1.4913
556,2.975
8799,10.1447
8921,2.7019
9244,2.5288
2208,4.6726
9295,7.7197
8697,5.3743
5087,0.9337
20131,3.0893
14955,4.7973
19274,3.9766
14379,2.7515
6097,4.6556
15573,5.5842
20059,1.63
19399,2.3469
7358,2.5556
16726,3.5
10716,7.9217
5231,1.0625
14727,4.3152
13781,1.4418
967,6.5214
753,3.875
2108,1.8958
6109,4.1836
3795,2.4835
20218,4.4038
16873,6.3719
15001,1.8594
7434,2.84
7895,6.2427
14522,3.7156
2224,5.0698
1305,4.8359
1733,2.5863
20112,4.0833
12956,4.0739
6839,3.0592
16633,3.526
6676,5.3272
1489,2.4519
8797,10.5536
2509,2.2083
2445,2.0658
11620,6.983
7166,2.7031
12742,3.0580000000000003
2956,2.3125
15746,2.9567
11531,1.808
9356,10.129
11541,4.25
10552,6.1863
3370,6.1946
257,1.8039
9302,6.4978
16833,4.25
13097,4.2206
11692,3.59
400,4.2614
9472,1.8967
20154,6.6257
16861,2.375
173,1.6504
3088,1.8369
5209,1.2098
8660,4.3594
15280,3.194
4357,1.9937
15271,6.0922
16322,1.3729
13198,2.7986
11335,5.1416
5584,2.6368
8053,2.25
16406,2.4674
11226,4.5714
6633,4.1518
4945,1.9152
19217,2.4722
16114,4.0625
18228,3.575
9511,3.5938
3729,5.7143
18883,2.5042
18192,3.7045
2605,3.0208
2856,3.875
19026,5.5435
5714,6.212999999999999
10135,4.9766
3826,2.5842
11413,5.343
3069,1.517
12872,3.5802
14521,4.2234
8035,4.575
2547,1.745
670,3.7813
11132,4.2019
18323,9.1508
8048,5.0787
7455,3.5938
5828,3.7015
5082,2.9375
12920,4.7381
12082,5.1365
5092,1.375
14373,6.6013
11663,5.3416
13077,2.8966
17200,5.9522
18781,1.8438
8409,1.9766
15482,5.0346
18308,7.1382
20302,4.3427
6334,5.2852
17278,5.0434
18302,4.15
17029,5.3264
2840,3.1906
16196,3.3466
6231,5.3559
9326,3.5588
402,5.6228
1262,5.0468
12066,5.4788
17728,5.5336
620,2.8301
3188,3.2386
1222,2.5473
13839,1.06
9318,6.4271
12269,2.4167
5216,0.8527
10043,4.0062
13514,3.3516
4853,1.8564
9095,4.8409
20483,5.5955
16898,4.5486
8224,0.9318
6904,2.6146
6188,4.0052
19903,2.2024
2357,5.6739
4417,2.5428
11596,7.6144
2525,2.4861
7835,3.3182
16815,4.207
16729,5.0947
15473,5.0123
2179,3.3125
5705,5.4306
19493,2.5148
11176,3.3831
19340,3.7361
861,3.6832
10402,11.0567
8167,4.0893
14792,3.3371
19578,3.0809
5094,3.375
11966,1.6955
11090,5.0605
1241,2.7841
11135,3.2301
14748,5.3072
9346,4.6905
17030,4.8382
4293,2.2612
6484,2.6917
17893,3.1563
10133,5.0096
7775,3.7604
5618,2.5588
17099,6.1043
9697,2.0244
7247,2.625
12500,3.2386
18474,3.8788
4922,1.3030000000000002
415,7.266
2955,2.2407
12352,2.1176
6774,3.8529
16335,5.5842
2358,4.526
15809,3.5655
7316,2.0087
10690,2.395
5481,3.1607
17854,10.3798
1190,2.425
13599,4.3362
2206,4.2132
7988,3.6897
13278,2.7083
16285,2.4412
6832,5.3032
392,3.0208
658,3.9032
17975,5.2534
16795,3.9722
15584,2.7813
14982,4.775
5544,7.5953
5675,6.4246
15766,2.7587
16029,4.1932
9082,4.1667
16327,5.3002
16084,5.1991
6749,3.9464
14503,3.2794
16828,12.5
2408,2.2863
1456,3.65
3462,4.1514
14036,2.2813
7462,2.4297
2284,2.1383
5624,1.9964
6349,4.4821
266,3.3715
15385,2.2393
916,5.4359
10579,6.9741
17822,7.0735
16031,4.7143
4212,3.5673
1153,2.9562
6406,5.2329
3048,1.7105
7917,3.6339
13528,3.0078
2963,2.9438
20611,1.2857
10385,6.4114
17576,5.2642
5872,4.4408
17146,9.3198
18409,6.3566
15736,3.6437
9243,1.4712
20543,1.7311
17132,2.4375
4204,3.6667
7578,2.125
5999,3.6359
17360,4.9766
14345,2.4
8540,3.1325
19718,2.4464
126,7.5
18160,6.837000000000001
17062,2.8482
3669,2.1518
19924,3.5313
12361,1.7204
4198,2.6111
5883,4.875
5232,0.9705
12212,3.475
14115,2.3269
1911,4.0313
7291,1.2059
1847,5.827999999999999
7553,2.0625
485,1.6307
2120,3.1719
7872,4.5735
18562,2.9712
11388,6.5501
17327,4.6554
14388,4.6354
9708,1.9385
260,3.5398
488,3.3893
17286,3.2895
6678,2.7431
18929,3.2891
17563,4.3882
13493,2.8682
16369,1.4274
14783,4.8984
11470,6.4858
9784,3.0526
16242,2.6673
18523,4.2254
11232,3.63
3759,2.5603
928,6.992000000000001
14984,4.7679
16197,1.65
14687,9.2858
13046,2.233
3508,4.9485
1010,5.4496
4726,3.625
18183,3.6765
6957,4.7266
2253,2.9471
17218,2.125
5036,2.9315
1315,5.7321
11683,3.0252
13931,4.2386
15589,5.359
9670,3.5469
4911,1.2206
5694,4.9355
10328,8.7124
6903,3.7109
14322,1.2863
5719,5.529
19597,2.6591
7214,1.7813
19069,4.2237
5376,4.7386
16635,4.9359
13135,4.35
8133,4.1375
6286,4.8854
17022,7.7364
18715,1.655
2016,1.5625
4356,2.9643
4964,2.3403
20599,1.5827
20488,4.7034
14100,1.5517
2553,2.5536
20063,1.8462
1541,9.5862
14578,3.337
9714,5.0
2995,3.4827
3899,4.5648
10839,9.6062
6076,3.8167
2165,2.4286
17353,5.0286
2906,2.7312
3998,3.0404
16628,4.4766
14963,6.5645
7415,2.6538
253,2.6765
3556,8.565
6191,3.125
16738,3.6827
16771,4.875
2064,2.1691
1624,5.6349
1137,2.9625
331,2.4028
15048,6.3191
1057,2.3155
1512,5.0362
8560,4.5729
12877,2.4574
2973,4.1528
6551,10.2289
3838,2.4583
3451,4.1724
7823,4.7663
1218,4.0109
8987,8.6718
2720,2.2417
19544,1.6952
18876,2.2417
16442,2.515
5079,2.9432
4607,7.4574
15148,3.6027
3692,1.8929
11846,2.1216
4621,2.2653
18314,6.46
7810,3.6
3066,2.7411
4460,4.975
575,3.1972
19936,4.9464
15513,5.1771
17894,3.0357
20053,1.505
5131,2.125
4767,3.0694
5283,4.2554
3668,3.0083
13100,5.4445
10655,2.5197
10751,6.0247
18690,4.7071
17650,3.8893
426,3.5417
11892,2.6071
2763,4.0208
1375,3.609
20041,1.7564
5816,2.5417
13838,1.2275
6095,4.0417
10243,6.4514
6442,3.94
9371,5.5379
5067,2.5437
17409,2.5809
18458,6.7385
15813,3.3937
14360,2.4016
5615,1.9208
12190,4.2788
15242,7.472
5484,5.2121
19131,4.385
8058,3.2798
17726,4.8092
2323,5.3478
1532,2.9526
9736,3.0347
11498,4.7821
20608,1.7167
11636,4.625
12388,2.2439
18522,4.2542
2729,4.5714
10574,1.9659
13880,3.1505
19492,2.5089
19337,1.1553
5192,1.1326
13565,2.875
12457,3.3438
14571,4.3862
4294,2.7054
2142,2.3333
6207,5.4469
14526,3.6196
11700,5.0731
16538,1.6111
2221,5.5357
4288,1.8156
17882,3.1439
18934,8.0113
19856,2.2222
2259,2.5223
3585,3.2289
15216,4.9485
4009,3.1875
20390,6.7559
12858,2.2788
5650,2.0329
3822,3.8833
14405,4.3403
18877,2.4875
13715,6.2178
9890,1.6691
10305,6.6678
2744,1.6635
1301,4.4583
14287,3.5156
3380,4.4485
16121,3.7419
3823,2.7118
14111,1.6102
20484,5.7376
11820,2.7463
1352,3.016
3270,3.45
8267,3.8125
12702,2.6485
3712,3.625
13310,4.6167
564,4.8711
3902,3.7049
7690,6.1814
19305,4.5147
10382,6.2899
12972,3.1382
6975,2.3182
7270,2.39
4289,1.2412
6393,3.6341
19657,2.7381
16507,4.4213
7505,3.0
12143,3.9052
17595,3.3682
17954,6.1388
19076,3.8
229,2.9844
17323,4.2026
16260,2.0375
8980,3.9643
13352,4.8311
7112,4.6354
19655,2.4706
9293,5.4781
17702,2.5652
7050,3.6771
20557,2.3468
4826,0.8351
19313,5.1512
19721,2.125
11109,3.3375
3419,2.6652
19180,3.3981
4925,0.9463
17181,6.3256
10732,5.2949
10267,5.7457
6365,4.9968
3464,4.0337
2661,1.2227
11577,3.0625
1171,2.1658
19139,3.6953
6594,9.4987
12124,1.6111
679,4.3864
17924,4.9562
3537,3.7816
3364,5.5179
5571,4.381
19048,3.2672
4566,2.5227
8728,5.5023
3655,3.6618
12763,2.2292
4538,1.925
10059,3.5385
5469,3.4071
13060,3.1194
9780,3.4821
16040,3.5156
9507,3.7833
18940,5.0672
114,3.4722
16922,3.4836
421,7.5385
14198,3.7366
373,2.5568
1664,5.9346
7866,4.125
10654,3.875
12282,1.4688
16859,2.225
16973,4.7917
20058,1.5069
15449,4.1807
5354,3.7277
16662,2.2847
8654,4.7105
4491,2.3611
12655,2.1736
9114,5.3799
819,3.7292
12222,3.1591
17508,3.5966
5395,2.25
9038,2.4348
11918,3.0542
15063,2.6087
13549,2.6307
7791,3.125
1059,3.07
490,7.0897
20458,5.1074
8961,4.6932
3017,2.9187
14647,3.8571
1976,3.6125
7275,2.1615
785,3.6708
1519,4.4561
19155,5.6018
6123,3.5385
2279,2.3293
12508,5.1169
4529,1.2
2079,1.7636
11714,4.1016
9347,4.9615
11246,3.1087
6032,3.7321
17388,3.0368
16052,4.0977
7570,4.3646
5627,1.5369
11513,4.9044
13460,2.4028
11987,3.8529
14524,4.6667
3342,2.1474
11256,3.7201
2917,3.9097
14148,3.6125
16155,3.0877
5030,1.9732
5554,4.1852
4813,1.5565
17392,4.0603
9883,5.4508
11516,5.7704
9556,2.1061
11851,2.5156
12720,3.5179
20003,1.9091
2177,2.8194
13533,2.9877
19468,3.1848
10971,4.7083
17699,4.2361
1995,1.4427
12649,3.625
5573,4.9792
12265,1.5982
19606,3.1875
9733,5.0092
15475,2.2278
11767,4.05
20388,7.9943
12628,1.3679
14742,3.4792
18697,1.6983
1769,3.2833
15446,2.9191
4820,1.2786
5234,2.0187
9092,3.5673
14468,8.2374
15192,7.7684
6259,4.375
4578,2.3636
16014,4.9537
14939,5.7789
10014,4.3646
12605,2.9219
19967,3.4306
9352,9.1834
18012,5.3561
3043,4.2375
17522,4.05
14046,2.8281
1110,2.6147
15027,3.0179
1683,4.621
4617,2.3375
17550,2.3277
8185,5.7368
3580,3.2404
13288,2.9474
18238,4.6591
14943,2.6944
2419,1.6875
10582,2.1719
5988,2.4952
11297,4.25
13536,3.3281
7614,3.0417
5440,2.599
8414,3.3125
7098,4.061
18923,4.5321
17818,3.7622
10805,3.6607
7725,3.2011
11155,3.2546
7891,4.2619
14128,1.2286
3769,4.0347
10524,6.9343
13215,6.5958
5278,7.6447
19635,3.4643
1946,4.835
11037,12.2092
2433,1.9676
13570,4.0481
17261,4.0125
298,2.2917
15491,2.32
4818,1.7225
14461,3.7596
14966,1.8856
8249,1.7393
12389,3.7727
15251,5.2742
13411,2.9973
17891,3.375
9254,1.6071
505,2.2625
14550,5.2648
12471,1.7765
3123,3.4015
10400,5.136
1894,2.675
846,6.0074
1567,6.7027
7957,3.0893
9052,1.125
10208,5.2336
12432,1.654
20163,12.632
876,4.4259
18343,5.0203
16325,2.7031
5942,7.5112
17391,3.4722
15949,3.1786
11262,3.1801
4425,1.6136
16204,0.696
17820,1.0938
20546,3.4559
20236,2.375
18724,3.8103
14840,2.4943
11552,3.0909
16005,4.375
12262,1.7303
14477,4.2065
5594,5.5
17233,5.8311
4047,12.8879
13390,1.9531
18787,2.1496
13589,2.2019
13900,1.3811
17201,6.4744
8991,6.431
14805,7.3669
11203,3.125
18698,1.8375
5252,11.1978
9724,4.4271
17513,5.5259
17729,6.2742
9069,2.8194
11280,4.425
19136,3.3827
6997,4.1471
14709,7.8336
16304,10.0088
8465,2.4741
12337,3.6875
19524,0.9573
8165,4.3438
6567,3.7932
8429,4.1023
11978,4.84
13074,3.0481
17083,3.1989
14722,4.3281
11264,5.4876
10628,5.5631
19252,3.1662
8536,4.2829
3591,4.5417
16567,6.0389
7456,2.9643
9577,3.3194
5310,7.2675
13616,1.7235
10633,6.3298
10144,4.9524
4919,1.7237
6586,7.0059
14621,2.3658
16735,4.1146
12634,2.3233
9444,2.662
2043,4.4583
12035,2.6776
7221,2.6964
19892,1.47
6240,4.5417
14841,3.4609
6387,4.125
20386,3.886
13121,4.1974
217,2.9583
11905,3.575
13758,6.5648
20573,5.678999999999999
9001,3.7344
3942,2.8039
1747,1.8664
8030,3.5465
7573,3.1189
2299,2.3375
14756,2.5625
14649,3.2679
2557,2.8056
14614,2.1447
10824,4.1026
6242,4.0274
20010,1.6452
20288,4.0074
6900,4.1375
9650,1.933
5685,7.642
14509,4.1429
19308,5.0574
1823,4.5
16487,2.4545
4233,8.4389
12837,5.0155
16929,3.2285
459,1.1696
18800,2.503
6985,4.8152
3888,5.0623
2282,2.9301
6660,2.5903
9297,6.5253
3774,3.9028
10957,2.8342
15409,4.1316
6083,4.2685
17271,4.0451
19444,2.3783
15617,8.0755
9032,7.4001
6472,4.2898
3022,2.3912
15363,6.2475
12493,3.0217
5981,3.5072
12996,4.9688
8863,7.6771
16546,4.2431
6018,4.1118
11984,3.6711
19513,2.8194
1692,6.5006
8029,4.8438
20349,7.3004
535,5.2601
6091,3.8465
14371,6.6661
9954,2.2536
4013,6.0794
4126,3.2222
5926,4.7969
10801,6.0516
15421,4.21
4541,2.7266
18855,2.0375
10641,3.3438
19171,4.3657
12355,2.2216
5635,1.2276
11315,2.9414
19298,2.9453
14285,1.975
16343,4.5179
12524,2.0089
20528,4.7168
17238,5.2888
12247,2.4145
4063,3.4698
19336,4.2716
7749,4.375
5878,4.2212
4824,2.4048
8908,3.5987
9781,2.9559
12792,3.8125
14463,3.1324
12018,4.55
14608,4.7679
14251,3.5789
632,2.875
7547,3.2798
13035,2.5183
8634,6.3403
14237,4.5662
14953,5.9878
16687,2.1702
15751,3.0906
19804,2.7083
847,4.6211
10314,6.057
14554,6.3721
9741,4.5812
9154,6.1281
8620,6.3021
1209,2.3816
13912,1.875
18335,4.2972
18588,2.5556
16568,4.3696
11144,3.6214
6447,5.1509
738,4.7933
12179,2.8401
5960,4.9844
4910,1.8652
14043,2.6777
9637,3.125
13109,4.45
10634,6.2162
9457,1.5278
13595,1.1806
17024,4.3939
20033,1.5911
14824,1.625
10466,7.8239
2633,2.8958
6035,1.9643
20205,3.4006
13762,2.5156
11057,3.8929
