,Latitude,Longitude
11862,40.27,-121.25
16532,37.81,-121.19
5645,33.75,-118.3
13934,34.24,-117.32
11731,39.02,-120.81
8314,33.35,-118.32
5657,33.73,-118.31
12725,38.61,-121.35
7317,33.98,-118.2
14467,32.84,-117.25
15203,32.93,-117.08
17533,37.34,-121.89
6257,34.05,-117.96
3053,35.59,-119.34
304,37.77,-122.18
8236,33.76,-118.19
10791,33.62,-117.92
18984,38.26,-121.99
10504,33.47,-117.7
3389,34.22,-118.35
10244,33.9,-117.86
19289,38.41,-122.82
7509,33.91,-118.27
16932,37.56,-122.32
1800,37.91,-122.33
14250,32.72,-117.09
19520,37.64,-120.99
10362,33.62,-117.7
5315,34.06,-118.43
19359,38.8,-123.01
11857,40.17,-120.94
5076,33.98,-118.32
8079,33.82,-118.2
933,37.55,-122.05
2766,33.41,-116.01
10319,33.84,-117.79
9529,38.94,-123.15
14401,32.79,-117.25
9339,37.97,-122.62
9081,34.69,-118.2
13402,34.14,-117.46
4534,34.03,-118.21
48,37.82,-122.26
2610,40.88,-123.98
12579,38.52,-121.41
2944,35.32,-118.95
17346,34.9,-120.37
15667,37.8,-122.44
15137,32.83,-116.91
4773,34.03,-118.34
4832,34.04,-118.29
11033,33.79,-117.81
20094,38.19,-120.03
17114,37.47,-122.16
10920,33.73,-117.89
12874,38.67,-121.36
13893,34.13,-116.31
3935,34.21,-118.57
4105,34.12,-118.34
10220,33.88,-117.88
20427,34.19,-118.8
19024,38.34,-121.99
4416,34.08,-118.26
8606,33.87,-118.36
225,37.8,-122.2
6694,34.14,-118.09
14347,32.74,-117.18
16498,37.84,-120.97
14975,32.7,-116.99
14069,32.76,-117.12
9800,36.56,-121.92
9805,36.55,-121.92
1078,39.71,-121.78
5104,33.95,-118.31
8706,33.83,-118.34
12616,38.51,-121.55
2516,39.79,-122.25
13734,34.05,-117.19
654,37.71,-122.15
14776,32.58,-117.08
14025,32.76,-117.15
4833,34.03,-118.3
10436,33.43,-117.61
7565,33.89,-118.19
20347,34.19,-119.0
19743,40.26,-122.2
9266,36.86,-119.98
20325,34.28,-119.04
577,37.73,-122.06
4466,34.07,-118.19
135,37.83,-122.2
5422,34.03,-118.42
3691,34.22,-118.35
20410,34.19,-118.86
7602,33.89,-118.26
14942,32.74,-116.99
10136,33.92,-117.89
6618,34.18,-118.12
12295,33.93,-116.89
10802,33.6,-117.96
759,37.66,-122.08
17452,34.7,-120.47
14978,32.71,-116.99
8225,33.78,-118.2
1550,37.74,-121.93
4403,34.07,-118.23
14350,32.74,-117.21
1468,37.96,-121.99
2464,36.55,-119.79
20149,34.38,-119.12
8210,33.78,-118.18
16393,38.04,-121.22
5245,34.09,-118.43
15326,33.19,-117.33
10528,33.54,-117.71
1762,37.94,-122.33
17955,37.34,-121.99
16154,37.78,-122.48
14837,32.68,-117.1
19098,38.24,-122.62
12582,38.52,-121.43
18136,37.35,-122.0
2009,36.72,-119.82
4609,34.08,-118.29
3909,34.2,-118.52
6581,34.21,-118.2
19389,37.75,-120.85
5832,34.2,-118.32
1343,38.01,-121.89
13944,34.28,-117.21
18251,37.39,-122.1
8725,33.83,-118.36
13672,34.04,-117.24
7441,33.94,-118.2
283,37.79,-122.16
15775,37.77,-122.45
20284,34.18,-119.17
19019,38.36,-121.96
19617,37.5,-121.21
8813,33.75,-118.31
11100,33.82,-117.88
1670,38.05,-122.23
8318,33.43,-118.48
19601,37.57,-120.98
5099,33.97,-118.31
16354,38.03,-121.31
17371,34.97,-120.43
1951,38.73,-120.84
4476,34.08,-118.17
3564,34.23,-118.56
5566,33.92,-118.29
16958,37.53,-122.31
4196,34.11,-118.23
5842,34.19,-118.31
9742,36.81,-121.6
1759,37.94,-122.33
12450,33.69,-114.56
15535,33.12,-117.14
12422,33.71,-116.23
9603,37.3,-120.49
7927,33.84,-118.09
17180,37.5,-122.53
15205,33.01,-117.07
19347,38.61,-122.82
7399,33.96,-118.24
9843,36.6,-121.9
12839,38.7,-121.47
19898,36.27,-119.25
15044,32.78,-116.91
11875,34.0,-117.36
1082,39.73,-121.84
13632,34.07,-117.34
8993,33.99,-118.35
15065,32.8,-116.96
15109,32.86,-116.96
20343,34.23,-119.06
3298,38.96,-122.63
61,37.82,-122.29
20101,37.93,-120.25
2616,40.95,-124.09
2111,36.76,-119.74
4958,34.01,-118.29
11917,33.95,-117.41
3894,34.2,-118.52
6065,33.97,-117.83
4553,34.06,-118.24
6827,34.08,-118.11
19600,37.57,-120.95
10703,33.6,-117.71
12960,38.71,-121.29
20253,34.23,-119.19
10789,33.63,-117.92
13087,38.57,-121.34
12581,38.52,-121.42
5311,34.06,-118.43
14318,32.7,-117.14
2008,36.74,-119.82
3968,34.2,-118.58
5015,34.0,-118.32
18965,38.26,-122.03
11623,33.83,-118.04
7588,33.9,-118.23
15064,32.79,-116.96
20082,38.04,-120.3
2935,35.36,-118.98
16222,37.96,-121.35
7631,33.84,-118.29
4492,34.06,-118.22
13956,34.17,-117.06
7371,33.97,-118.22
14306,32.71,-117.14
8855,34.07,-118.38
18812,40.82,-121.41
18737,40.56,-122.35
6970,34.0,-118.04
10773,33.65,-117.9
17907,37.36,-121.96
3214,36.34,-119.64
13807,34.9,-117.02
3881,34.22,-118.51
7252,33.99,-118.12
10460,33.47,-117.63
7454,33.92,-118.17
7402,33.95,-118.23
5897,34.16,-118.32
16980,37.57,-122.3
13465,34.13,-117.37
1579,37.88,-122.02
1163,39.51,-121.55
4194,34.12,-118.23
14713,32.8,-117.04
3485,34.28,-118.55
18983,38.27,-121.99
7932,33.84,-118.06
12978,38.68,-121.29
5701,34.22,-118.25
20270,34.19,-119.18
12635,38.48,-121.47
9415,37.86,-122.49
18882,38.1,-122.25
6873,34.08,-118.1
16943,37.55,-122.31
10807,33.65,-117.93
12102,33.94,-117.31
10183,33.86,-117.96
19806,40.07,-123.41
16398,37.99,-121.26
10644,33.56,-117.81
9105,34.63,-118.09
14791,32.58,-117.11
11016,33.76,-117.82
8362,33.96,-118.33
18978,38.25,-122.01
9496,39.32,-123.7
9469,39.44,-123.79
5010,34.01,-118.32
3758,34.18,-118.37
18015,37.27,-121.96
3903,34.19,-118.51
14979,32.71,-117.0
10122,33.93,-117.93
16723,35.48,-120.67
1035,38.45,-120.88
317,37.76,-122.2
8272,33.77,-118.16
11482,33.73,-117.99
6397,34.13,-118.04
5391,34.03,-118.39
16392,38.04,-121.23
12171,33.7,-117.15
121,37.85,-122.24
16686,35.12,-120.61
9676,37.64,-119.02
16298,37.96,-121.22
12440,33.69,-116.18
9759,36.57,-121.42
7670,33.92,-118.07
268,37.78,-122.19
7759,33.91,-118.14
27,37.85,-122.28
5157,33.95,-118.28
2949,35.35,-119.0
19303,38.38,-122.82
10171,33.87,-117.98
16310,38.01,-121.33
16226,37.97,-121.32
19194,38.44,-122.69
18891,38.11,-122.23
251,37.76,-122.21
15781,37.77,-122.41
6740,34.12,-118.09
4782,34.03,-118.32
18657,36.97,-121.96
1211,38.09,-120.56
11529,33.77,-118.08
4915,34.0,-118.27
12749,38.62,-121.37
4739,34.05,-118.38
2388,37.02,-119.57
1337,38.0,-121.87
4874,34.02,-118.27
1065,39.74,-121.85
795,37.64,-122.08
2859,35.39,-118.94
2659,40.28,-123.84
18364,37.29,-122.12
7975,33.87,-118.2
2030,36.72,-119.74
8470,33.91,-118.31
11014,33.76,-117.82
5132,33.98,-118.26
13043,38.51,-121.06
1927,38.68,-121.09
9284,38.07,-122.55
16583,37.75,-121.45
16030,37.72,-122.45
2994,35.32,-119.04
18353,37.37,-122.12
10921,33.73,-117.9
153,37.81,-122.23
8549,33.88,-118.35
16025,37.73,-122.44
422,37.89,-122.25
10051,39.16,-121.0
3830,34.19,-118.46
15262,33.03,-117.27
13642,34.06,-117.33
10566,33.71,-117.76
200,37.78,-122.23
2096,36.75,-119.76
4478,34.07,-118.17
17901,37.37,-121.98
8432,33.93,-118.37
2367,36.71,-119.56
9655,36.98,-120.63
20598,39.15,-121.58
2566,40.78,-124.16
8915,34.03,-118.46
16251,37.96,-121.26
18493,37.02,-121.59
11116,33.84,-117.87
1454,37.96,-121.96
12439,33.67,-116.18
19426,37.7,-121.02
7542,33.9,-118.21
18465,37.16,-121.72
2015,36.71,-119.8
19763,40.02,-122.18
1972,38.75,-120.54
9951,38.41,-122.4
16302,38.0,-121.35
3064,35.68,-119.22
10053,39.17,-121.02
12952,38.71,-121.28
3895,34.2,-118.53
20300,34.15,-119.19
20128,34.36,-118.93
3111,35.62,-117.68
8109,33.79,-118.19
18122,37.32,-122.01
14087,32.76,-117.09
528,37.77,-122.25
5086,33.98,-118.28
16705,35.06,-120.52
15134,32.82,-116.92
18990,38.48,-121.99
783,37.65,-122.11
8141,33.82,-118.11
4331,34.08,-118.32
13327,34.05,-117.66
8820,34.09,-118.35
5424,34.02,-118.42
11088,33.82,-117.89
15297,33.16,-117.35
14072,32.76,-117.11
12699,38.61,-121.44
14051,32.76,-117.13
856,37.58,-122.01
8545,33.88,-118.36
3731,34.18,-118.41
6584,34.23,-118.22
18998,38.34,-121.96
5954,34.13,-117.86
19018,38.34,-121.96
342,37.75,-122.18
18042,37.22,-121.96
1036,38.43,-120.79
12842,38.66,-121.4
10493,33.48,-117.69
5447,34.01,-118.42
6846,34.06,-118.11
5550,33.96,-118.38
3682,34.2,-118.42
1865,41.54,-123.92
20457,34.28,-118.77
13694,34.13,-117.23
3132,35.16,-117.99
15777,37.78,-122.41
11520,33.72,-118.06
1652,37.93,-121.97
3120,35.54,-117.84
4393,34.08,-118.27
17773,37.36,-121.85
13083,38.56,-121.37
11379,33.68,-117.95
8550,33.88,-118.35
10138,33.91,-117.9
312,37.77,-122.19
8410,33.93,-118.35
11981,33.98,-117.5
2373,36.7,-119.57
20185,34.27,-119.16
6733,34.12,-118.09
18531,36.98,-122.02
7080,33.94,-118.0
19354,38.77,-122.85
20323,34.23,-119.12
20383,34.19,-118.95
3979,34.19,-118.61
20367,34.16,-118.94
3439,34.27,-118.41
13167,36.83,-121.37
5609,33.79,-118.27
18833,41.69,-122.56
18704,40.56,-122.38
18530,36.98,-122.01
15188,33.03,-117.05
15687,37.79,-122.43
20559,38.67,-121.79
10876,33.73,-117.88
5992,34.08,-117.71
1429,37.98,-122.03
17551,37.34,-121.86
1373,38.0,-122.12
2869,35.37,-118.94
18286,37.37,-122.1
3976,34.18,-118.62
10325,33.79,-117.8
9094,34.65,-118.29
8313,33.77,-118.13
18869,38.1,-122.22
13795,34.59,-117.42
3193,36.32,-119.72
7879,33.87,-118.11
1858,41.74,-124.16
13436,34.09,-117.44
5691,34.23,-118.24
10441,33.4,-117.59
18306,37.43,-122.11
6614,34.17,-118.1
6149,34.1,-117.97
14551,32.98,-117.13
11039,33.82,-117.82
6040,34.05,-117.73
7297,33.98,-118.21
7539,33.9,-118.22
20095,37.99,-120.26
937,37.54,-122.03
6658,34.15,-118.12
8174,33.79,-118.11
2811,35.42,-119.03
18101,37.31,-122.04
9647,37.05,-120.84
20070,37.99,-120.35
15058,32.79,-116.9
262,37.78,-122.2
12413,33.74,-116.22
2568,40.79,-124.15
11797,38.97,-121.31
16996,37.54,-122.26
13378,34.15,-117.62
492,37.86,-122.25
13836,34.51,-117.17
7220,34.02,-118.16
2775,33.43,-114.73
9592,37.32,-120.45
4373,34.1,-118.27
14235,32.69,-117.03
18158,37.37,-122.04
8441,33.91,-118.36
7899,33.86,-118.05
4891,34.02,-118.25
14772,32.57,-117.07
2879,35.37,-118.97
2500,36.75,-120.38
18338,37.44,-122.15
8809,33.75,-118.41
15219,32.95,-117.12
972,37.67,-121.9
10232,33.87,-117.93
1859,41.95,-124.14
11651,33.85,-118.05
2711,32.75,-115.72
9090,34.66,-118.22
2394,37.09,-119.4
4595,34.05,-118.28
7559,33.9,-118.2
16590,37.74,-121.44
19254,38.46,-122.75
17462,34.43,-119.88
4544,34.02,-118.19
10967,33.76,-117.89
19573,37.62,-120.95
20394,34.22,-118.87
12741,38.61,-121.36
10396,33.55,-117.67
18614,37.06,-122.07
3285,39.05,-122.78
15230,33.03,-117.21
2943,35.36,-118.97
13868,34.35,-117.31
2181,36.77,-119.92
3269,39.1,-122.94
5750,34.17,-118.28
13015,38.71,-121.19
19829,36.56,-119.38
3067,35.77,-119.25
8073,33.83,-118.18
13992,34.94,-116.96
9096,34.58,-118.38
19619,37.45,-121.06
8204,33.78,-118.16
13613,34.13,-117.25
12142,33.83,-117.23
2959,35.35,-119.04
11301,33.78,-117.91
10403,33.64,-117.49
17242,34.38,-119.67
13249,34.11,-117.64
12617,38.5,-121.55
15318,33.2,-117.36
16591,37.73,-121.44
6906,34.04,-118.13
890,37.54,-121.93
18706,40.54,-122.37
18468,37.15,-121.61
930,37.55,-122.04
6367,34.16,-118.01
14032,32.74,-117.15
6519,34.07,-118.02
12384,33.72,-116.39
13347,34.04,-117.64
13385,34.12,-117.56
822,37.63,-122.06
12198,33.65,-117.25
11859,40.14,-120.94
15518,33.14,-117.08
7624,33.85,-118.26
11891,33.98,-117.37
14298,32.72,-117.13
1329,38.0,-121.88
3139,34.87,-118.17
9044,34.69,-118.13
16180,37.95,-121.28
20552,38.68,-121.8
10976,33.75,-117.84
19318,38.46,-123.02
19173,38.43,-122.68
15336,33.22,-117.3
5690,34.23,-118.24
20032,36.07,-119.03
1987,36.73,-119.81
2255,36.8,-119.83
18275,37.34,-122.07
5664,33.73,-118.28
9851,36.6,-121.88
2541,40.8,-124.17
4036,34.16,-118.52
9610,37.3,-120.49
7064,33.94,-118.03
15618,37.8,-122.42
1696,38.0,-122.27
7698,33.96,-118.12
3361,40.37,-120.58
1328,38.02,-121.87
3626,34.24,-118.43
13830,34.51,-117.25
89,37.8,-122.27
11183,33.82,-117.94
4388,34.08,-118.27
13875,34.46,-117.3
766,37.66,-122.1
10870,33.72,-117.9
16087,37.73,-122.48
13852,34.51,-117.28
8402,33.94,-118.36
12658,38.51,-121.44
5663,33.73,-118.28
247,37.77,-122.22
15486,33.14,-117.13
3924,34.19,-118.56
13535,34.16,-117.32
7051,33.93,-118.05
3972,34.19,-118.58
1411,37.93,-122.08
7685,33.94,-118.1
19677,39.15,-121.63
11416,33.7,-117.98
8329,33.93,-118.29
8148,33.81,-118.08
14593,32.83,-117.18
19900,36.32,-119.29
12055,33.88,-117.57
17992,37.29,-121.95
3702,34.18,-118.36
15770,37.76,-122.44
14015,32.75,-117.17
14193,32.7,-117.06
3735,34.19,-118.4
5495,34.0,-118.4
3235,36.09,-119.57
14572,32.82,-117.21
9816,36.62,-121.93
1391,37.97,-122.1
20217,34.28,-119.25
15360,33.35,-117.42
8232,33.77,-118.2
3842,34.18,-118.44
11882,33.98,-117.37
3689,34.23,-118.36
17082,37.47,-122.2
17974,37.31,-121.96
9305,38.0,-122.55
13853,34.5,-117.31
4090,34.15,-118.42
17321,34.61,-120.16
18263,37.37,-122.09
7394,33.95,-118.25
15668,37.8,-122.44
18676,36.93,-121.9
4039,34.16,-118.48
16200,37.95,-121.27
8999,34.0,-118.33
19249,38.46,-122.74
7350,33.97,-118.16
11429,33.67,-117.97
874,37.56,-122.03
12991,38.7,-121.25
2237,36.85,-119.81
10082,39.35,-120.22
17776,37.38,-121.84
10155,33.89,-117.89
20619,39.01,-121.56
11299,33.78,-117.93
9431,38.26,-122.96
19352,38.73,-122.95
7544,33.9,-118.22
8049,33.83,-118.17
11074,33.8,-117.86
2048,36.72,-119.73
8394,33.96,-118.36
5846,34.17,-118.3
17160,37.4,-122.2
2494,36.6,-120.19
8155,33.82,-118.1
3268,39.08,-122.92
18799,40.97,-121.89
14698,32.79,-117.09
2922,35.36,-119.02
1255,39.21,-122.01
1436,37.98,-122.01
16553,37.82,-121.24
5766,34.17,-118.3
2497,36.72,-120.67
4667,34.05,-118.29
16665,35.28,-120.7
18681,36.86,-121.82
13728,34.05,-117.18
5500,33.99,-118.42
6497,34.08,-118.02
16094,37.76,-122.5
4238,34.12,-118.32
2604,41.13,-124.06
16032,37.72,-122.45
10420,33.41,-117.61
8380,33.95,-118.36
2818,35.41,-119.03
19878,36.34,-119.27
20307,34.15,-119.17
7340,33.97,-118.16
7907,33.85,-118.09
9774,36.32,-121.26
19042,38.49,-121.81
13630,34.08,-117.33
18772,40.43,-122.29
3708,34.19,-118.37
13572,34.14,-117.28
20188,34.27,-119.17
107,37.81,-122.25
2756,32.68,-115.5
20319,34.25,-119.17
16835,37.58,-122.51
9153,34.44,-118.53
590,37.71,-122.09
2256,36.8,-119.84
13184,33.95,-117.75
17405,34.95,-120.45
330,37.73,-122.18
2802,35.42,-119.03
2038,36.74,-119.69
8829,34.09,-118.36
4633,34.07,-118.29
13521,34.24,-117.41
18511,36.98,-122.0
10241,33.89,-117.88
8427,33.92,-118.35
20503,34.33,-118.75
18383,37.19,-121.8
11209,33.82,-117.9
10145,33.91,-117.9
13576,34.14,-117.3
12977,38.67,-121.32
18846,41.43,-122.49
16067,37.75,-122.48
16938,37.56,-122.33
6973,33.98,-118.04
226,37.8,-122.21
7939,33.86,-118.11
10514,33.52,-117.69
9478,39.41,-123.36
9977,38.54,-122.48
13456,34.11,-117.39
20605,39.12,-121.58
9357,37.96,-122.54
17523,37.33,-121.91
3208,36.33,-119.63
5955,34.13,-117.86
1247,39.1,-122.33
12093,33.76,-117.4
11761,38.73,-121.26
4456,34.09,-118.18
8161,33.82,-118.13
17757,37.35,-121.8
842,37.59,-122.07
10064,39.37,-121.03
19221,38.46,-122.71
9909,38.31,-122.3
18729,40.55,-122.36
9595,37.31,-120.44
13649,34.07,-117.32
11671,33.84,-118.01
18566,36.92,-121.74
10575,33.65,-117.69
6140,34.07,-117.97
1620,37.83,-122.11
20575,38.72,-121.9
19517,37.64,-121.01
8626,33.88,-118.39
11583,33.76,-118.04
9253,36.95,-120.08
12029,33.93,-117.46
13831,34.51,-117.23
10842,33.67,-117.91
716,37.68,-122.09
3845,34.18,-118.46
6466,34.09,-118.04
7714,33.95,-118.12
4061,34.15,-118.45
6770,34.11,-118.15
11997,33.94,-117.55
15861,37.76,-122.39
1937,38.66,-120.98
17355,34.88,-120.43
18839,41.76,-122.73
12777,38.64,-121.42
15547,33.09,-117.08
5210,33.92,-118.28
20235,34.28,-119.27
7779,33.91,-118.07
8469,33.91,-118.31
8858,34.08,-118.39
20210,34.3,-119.23
8648,33.87,-118.4
5906,34.3,-118.43
7522,33.91,-118.24
15721,37.78,-122.45
6780,34.1,-118.15
19794,40.61,-123.41
16519,37.8,-121.21
931,37.54,-122.04
5416,34.02,-118.44
16267,37.96,-121.25
7300,33.99,-118.2
5324,34.05,-118.44
15355,33.25,-117.32
2107,36.74,-119.74
14262,32.71,-117.11
2754,32.67,-115.49
4077,34.15,-118.35
12239,33.73,-116.93
11594,33.8,-118.08
10806,33.65,-117.94
4908,34.01,-118.26
9523,39.15,-123.1
2833,35.39,-119.02
4346,34.12,-118.36
13648,34.07,-117.31
2033,36.73,-119.76
4653,34.06,-118.33
18245,37.39,-122.08
12290,33.94,-116.97
8084,33.81,-118.19
17880,37.4,-122.0
15145,32.9,-116.96
16695,35.13,-120.62
2982,35.33,-119.03
19780,41.15,-122.68
18020,37.24,-121.95
19680,39.15,-121.63
10393,33.59,-117.65
18865,38.11,-122.22
9938,38.25,-122.24
6923,34.01,-118.06
20496,34.28,-118.7
19552,37.63,-120.99
3461,34.32,-118.45
10875,33.72,-117.89
15097,32.82,-116.94
2758,32.67,-115.49
6490,34.1,-118.01
6592,34.19,-118.2
8060,33.85,-118.2
4978,34.0,-118.29
17446,34.65,-120.48
20352,34.22,-119.09
7534,33.91,-118.23
11550,33.75,-117.98
14309,32.71,-117.13
6847,34.07,-118.14
10383,33.62,-117.64
19067,38.28,-122.45
3610,34.24,-118.42
8851,34.09,-118.42
6003,34.08,-117.77
7422,33.96,-118.2
7881,33.87,-118.12
17538,37.35,-121.89
18809,40.88,-121.65
16013,37.74,-122.47
7808,33.89,-118.1
14741,32.58,-117.06
6535,34.05,-118.05
16281,37.94,-121.28
16685,35.12,-120.6
3223,36.32,-119.68
15844,37.74,-122.43
4542,34.03,-118.2
5555,33.96,-118.41
19669,37.51,-120.84
16152,37.77,-122.48
20071,37.99,-120.38
5817,34.13,-118.24
19610,37.48,-121.14
1657,37.96,-121.92
19984,36.19,-119.33
8194,33.79,-118.13
5947,34.14,-117.86
5213,33.93,-118.28
946,37.72,-121.92
14807,32.69,-117.18
11347,33.77,-117.9
18901,38.11,-122.26
13792,34.45,-117.44
11478,33.73,-118.01
16825,37.63,-122.49
16618,35.4,-120.86
17853,37.44,-121.88
14501,32.86,-117.23
10055,39.26,-121.03
10373,33.65,-117.65
6297,34.02,-117.9
8664,33.84,-118.38
990,37.65,-121.77
8339,33.93,-118.31
14731,32.81,-117.02
1141,39.75,-121.6
8067,33.83,-118.18
9309,37.99,-122.55
5455,34.01,-118.46
5660,33.73,-118.31
6856,34.06,-118.16
12223,33.73,-116.89
2370,36.7,-119.57
2498,36.55,-120.51
596,37.7,-122.08
9325,37.96,-122.52
360,37.76,-122.13
2864,35.37,-118.91
5398,34.03,-118.43
18349,37.43,-122.17
689,37.7,-122.12
11538,33.75,-118.01
5419,34.02,-118.43
14139,32.75,-117.07
2475,36.44,-119.97
3347,40.85,-121.07
16277,37.94,-121.26
18828,41.95,-122.64
5141,33.96,-118.27
19633,37.54,-120.89
18470,37.15,-121.64
13664,34.03,-117.31
19473,37.68,-120.98
17397,34.95,-120.45
4546,34.02,-118.2
6668,34.17,-118.12
10130,33.92,-117.9
9167,34.44,-118.55
13433,34.11,-117.43
9345,37.98,-122.57
9493,39.37,-123.75
3000,35.3,-119.03
15479,33.16,-117.14
11931,33.95,-117.39
10230,33.86,-117.93
7521,33.91,-118.26
7701,33.97,-118.13
16091,37.72,-122.48
13763,34.06,-117.12
823,37.61,-122.05
8663,33.83,-118.38
5791,34.14,-118.23
4497,34.05,-118.22
10462,33.48,-117.64
7806,33.89,-118.09
9458,39.66,-123.58
1939,38.69,-120.95
10498,33.51,-117.67
15707,37.79,-122.43
11457,33.65,-118.02
4116,34.13,-118.42
8051,33.84,-118.18
15494,33.12,-117.21
10905,33.76,-117.86
10074,39.33,-120.1
12788,38.62,-121.44
13660,34.02,-117.32
1969,38.73,-120.63
1263,37.98,-121.68
17691,37.3,-121.83
2989,35.34,-119.02
13466,34.12,-117.38
15221,32.97,-117.06
63,37.81,-122.3
8128,33.79,-118.16
7348,33.97,-118.16
1324,38.03,-121.9
19574,37.62,-120.97
11272,33.78,-117.98
9667,38.51,-119.54
4808,34.03,-118.34
11160,33.83,-118.01
1970,38.71,-120.62
19435,37.67,-121.04
15680,37.8,-122.43
3316,38.94,-122.69
13453,34.11,-117.41
11600,33.78,-118.08
3703,34.18,-118.37
4751,34.04,-118.32
2728,32.79,-115.55
17065,37.48,-122.22
2602,41.01,-123.52
19540,37.64,-120.95
8942,34.01,-118.46
19812,36.32,-118.94
16577,37.75,-121.43
11190,33.82,-117.94
14239,32.7,-117.09
4757,34.04,-118.34
15512,33.19,-117.11
5146,33.96,-118.26
8787,33.79,-118.36
3226,36.32,-119.65
5121,33.96,-118.31
4835,34.04,-118.29
18344,37.42,-122.15
9300,38.02,-122.57
19145,38.34,-122.71
4515,34.04,-118.2
14261,32.7,-117.12
13258,34.1,-117.69
8954,34.02,-118.39
3286,39.09,-122.53
11799,38.87,-121.27
2953,35.35,-119.02
19431,37.65,-121.05
2826,35.42,-119.11
7093,33.92,-118.0
4347,34.11,-118.35
4531,34.04,-118.21
6359,34.13,-117.97
5886,34.16,-118.33
9564,37.37,-120.62
6348,34.06,-117.75
8412,33.94,-118.35
18568,36.92,-121.75
12176,33.83,-117.29
14227,32.68,-117.04
17698,37.28,-121.83
6189,34.1,-117.89
6252,34.04,-117.97
5644,33.75,-118.29
3670,34.23,-118.4
10700,33.61,-117.73
12755,38.61,-121.38
18938,38.26,-122.07
17584,37.31,-121.93
14753,32.56,-117.05
14934,32.65,-117.03
14209,32.7,-117.04
4022,34.18,-118.52
12120,33.94,-117.28
18124,37.33,-122.02
20624,39.04,-121.41
9395,37.89,-122.52
3152,35.13,-118.46
19689,39.13,-121.61
9860,36.6,-121.86
15837,37.75,-122.44
15474,33.14,-117.21
7904,33.85,-118.06
11258,33.81,-117.97
7354,33.96,-118.15
11089,33.8,-117.89
11122,33.84,-117.92
5949,34.14,-117.86
14455,32.83,-117.28
6219,34.06,-117.91
6918,33.96,-118.0
14628,32.76,-117.18
2017,36.72,-119.8
12806,38.6,-121.46
7165,34.05,-118.17
4176,34.1,-118.22
884,37.54,-121.97
16856,37.62,-122.41
20240,34.27,-119.25
15531,33.15,-117.12
18316,37.44,-122.13
5166,33.94,-118.28
10766,33.63,-117.9
1734,37.97,-122.35
11191,33.82,-117.94
16371,38.03,-121.3
7662,33.83,-118.22
14700,32.8,-117.07
8388,33.97,-118.37
11068,33.84,-117.85
14142,32.75,-117.09
11208,33.83,-117.91
473,37.86,-122.29
9280,38.11,-122.65
10585,33.72,-117.82
4279,34.09,-118.31
4242,34.11,-118.33
744,37.67,-122.11
7787,33.9,-118.06
10814,33.63,-117.95
6324,33.98,-117.99
13168,36.83,-121.4
9477,39.43,-123.37
3996,34.18,-118.59
14938,32.64,-117.02
11231,33.82,-117.95
4850,34.03,-118.3
1629,37.89,-122.16
4762,34.04,-118.35
6746,34.12,-118.08
4468,34.09,-118.16
11420,33.69,-117.96
9486,39.26,-123.18
2825,35.41,-119.09
12284,33.9,-116.81
17965,37.32,-121.99
19031,38.37,-122.02
7084,33.93,-118.02
8739,33.81,-118.31
18346,37.43,-122.15
19150,38.35,-122.7
5240,33.93,-118.24
13633,34.08,-117.34
11236,33.81,-117.96
7076,33.93,-117.99
1437,37.98,-122.0
14177,32.72,-117.08
6707,34.14,-118.15
3927,34.18,-118.54
10539,33.48,-117.7
11022,33.83,-117.83
14724,32.8,-117.01
5937,34.15,-117.9
16190,37.96,-121.29
3960,34.21,-118.6
7785,33.9,-118.05
10494,33.47,-117.69
10649,33.55,-117.79
6905,34.03,-118.11
12161,33.78,-117.18
1530,37.88,-122.06
14737,32.82,-117.05
14432,32.8,-117.23
16643,35.32,-120.65
2046,36.73,-119.72
16794,37.66,-122.45
6515,34.07,-118.04
13680,34.06,-117.24
11043,33.82,-117.83
8841,34.09,-118.38
6863,34.05,-118.13
19187,38.45,-122.66
17653,37.25,-121.88
17118,37.5,-122.14
13382,34.13,-117.59
18648,36.96,-121.99
12946,38.65,-121.29
6915,33.95,-117.99
10901,33.74,-117.83
6751,34.1,-118.08
1204,39.33,-121.8
5235,33.94,-118.23
4942,34.01,-118.28
1983,38.65,-120.76
14617,32.8,-117.15
5537,33.96,-118.43
9213,37.04,-120.25
2671,33.09,-115.73
1274,37.95,-121.74
4536,34.03,-118.21
7255,34.0,-118.15
13786,34.04,-117.04
8280,33.78,-118.15
6037,34.06,-117.73
9490,39.2,-123.21
6878,34.07,-118.09
7858,33.89,-118.14
4878,34.03,-118.24
19906,36.32,-119.27
8735,33.82,-118.31
13862,34.41,-117.25
9773,36.32,-121.25
14751,32.57,-117.06
15468,33.18,-117.19
12790,38.65,-121.45
19809,36.49,-118.96
4746,34.05,-118.34
5891,34.16,-118.34
6160,34.09,-117.94
6457,34.11,-118.06
2466,36.54,-119.84
8008,33.85,-118.11
982,37.66,-121.85
5774,34.16,-118.27
19700,39.13,-121.68
4088,34.15,-118.41
19572,37.58,-120.94
10298,33.92,-117.85
9376,37.92,-122.5
477,37.86,-122.27
12073,33.88,-117.64
12618,38.5,-121.54
1407,37.94,-122.05
10448,33.47,-117.67
15106,32.84,-117.01
13815,34.44,-117.22
7942,33.87,-118.13
18663,37.0,-121.94
11462,33.67,-117.99
12061,33.87,-117.57
5771,34.15,-118.27
